Warehouse Name;Reference;Denomination;Equipe Guillaume et Alexis;Equipe Thibaut et Marc;Equipe Aurelien;Equipe Maxime;Equipe Dimitri et Camille;Equipe Coline et Pierre;Admin
CHAMBRE FROIDE;232;Hotte plafond 110cm cloud NOVY 232;0;0;0;0;0;0;0
CHAMBRE FROIDE;814;Hotte groupe filtrant encastrable NOVY 814;0;0;0;0;0;0;0
CHAMBRE FROIDE;820;Hotte groupe filtrant encastrable NOVY 820;0;0;0;0;0;0;0
CHAMBRE FROIDE;821;Hotte plafonnier encastrable NOVY 821;0;0;0;0;0;0;0
CHAMBRE FROIDE;826;Hotte groupe filtrant  noir encastrable NOVY 826;0;0;0;0;0;0;0
CHAMBRE FROIDE;6830;Hotte plafonnier encastrable NOVY 6830;0;0;0;0;0;0;0
CHAMBRE FROIDE;6831;Hotte plafonnier encastrable NOVY 6831;0;0;0;0;0;0;0
CHAMBRE FROIDE;6840;Hotte plafonnier NOVY 6840;0;0;0;0;0;0;0
CHAMBRE FROIDE;6841;Hotte plafonnier NOVY 6841;0;0;0;0;0;0;0
CHAMBRE FROIDE;7600;Hotte murale Flatline 90cm inox NOVY 7600;0;0;0;0;0;0;0
CHAMBRE FROIDE;7612;Hotte murale 120cm noire NOVY 7612;0;0;0;0;0;0;0
CHAMBRE FROIDE;26052;Groupe aspirant Novy 53cm Crystal 26052;0;0;0;0;0;0;0
CHAMBRE FROIDE;26080;Hotte encastrable Crystal 90cm blanc NOVY 26080;0;0;0;0;0;0;0
CHAMBRE FROIDE;26082;Groupe flitrant Novy 83cm verre noir 26082;0;0;0;0;0;0;0
CHAMBRE FROIDE;40674;Egouttoir FRANKE 40674;0;0;0;0;0;0;0
CHAMBRE FROIDE;62790;Réchaud à gaz ENO 62790;0;0;0;0;0;0;0
CHAMBRE FROIDE;96027;Panier égouttoir encastrable Franke 96027;0;0;0;0;0;0;0
CHAMBRE FROIDE;245999;Moteur dissocié hotte encastrable NOVY 245999;0;0;0;0;0;0;0
CHAMBRE FROIDE;263590;Antenne TONNA 263590;0;0;0;0;0;0;0
CHAMBRE FROIDE;466738;Évier encastrable FRANKE 466738;0;0;0;0;0;0;0
CHAMBRE FROIDE;511644;MICO PHASE 2 TOASTIE;0;0;0;0;0;0;0
CHAMBRE FROIDE;511645;MICO PHASE 2 EGG & POTATO;0;0;0;0;0;0;0
CHAMBRE FROIDE;516939;Evier encastrable BLANCO 516939;0;0;0;0;0;0;0
CHAMBRE FROIDE;517289;Evier encastrable BLANCO 517289;0;0;0;0;0;0;0
CHAMBRE FROIDE;517473;Evier encastrable BLANCO 517473;0;0;0;0;0;0;0
CHAMBRE FROIDE;518388;Evier encastrable BLANCO 518388;0;0;0;0;0;0;0
CHAMBRE FROIDE;552030;Évier encastrable FRANKE 552030;0;0;0;0;0;0;0
CHAMBRE FROIDE;588168;Évier encastrable FRANKE 588168;0;0;0;0;0;0;0
CHAMBRE FROIDE;791590;Évier encastrable FRANKE 791590;0;0;0;0;0;0;0
CHAMBRE FROIDE;800997;Accessoires pour déporter moteur Pureline NOVY 800997;0;0;0;0;0;0;0
CHAMBRE FROIDE;811400;Kit de recirculation Mini pureline NOVY  811400;0;0;0;0;0;0;0
CHAMBRE FROIDE;820400;Kit de recirculation monobloc Mini Pure'line NOVY 820400;0;0;0;0;0;0;0
CHAMBRE FROIDE;841400;Box insonorisé avec monoblock blanc 841400 NOVY;0;0;0;0;0;0;0
CHAMBRE FROIDE;906287;Tuyau alu flexible insonorisant NOVY 906287;0;0;0;0;0;0;0
CHAMBRE FROIDE;5102025;Hotte aspirante visière ROBLIN 5102025;0;0;0;0;0;0;0
CHAMBRE FROIDE;6830060;Kit de recirculation monobloc Pure'line 6830060 NOVY;0;0;0;0;0;0;0
CHAMBRE FROIDE;7335472;Poignées placard LEROY 7335472;0;0;0;0;0;0;0
CHAMBRE FROIDE;8002216;Kit sortie de toit 700M3 AA NOVY 8002216;0;0;0;0;0;0;0
CHAMBRE FROIDE;31238002;Mitigeur COSMO EURODISC DOUCH GROHE 31238002;0;0;0;0;0;0;0
CHAMBRE FROIDE;32221002;Mitigeur évier GROHE 32221002;0;0;0;0;0;0;0
CHAMBRE FROIDE;32660001;Mitigeur évier GROHE 32660001;0;0;0;0;0;0;0
CHAMBRE FROIDE;57028385;Combo Enosign 65cm noir inox gaz  ENO 57028385;0;0;0;0;0;0;0
CHAMBRE FROIDE;57038301;Combo enosign 80cm inox  gaz ENO 57038301;0;0;0;0;0;0;0
CHAMBRE FROIDE;57038385;Combo plancha ENO ENOSIGN 80 Noir & Inox;0;0;0;0;0;0;0
CHAMBRE FROIDE;00776526;Lèche frite pour four Siemens HB578BBS6 00776526;0;0;0;0;0;0;0
CHAMBRE FROIDE;029N;Bloc 1 prise+clapet+port USB Noir MSA 029N;0;0;0;0;0;0;0
CHAMBRE FROIDE;1425NIK;Mitigeur GABOLI 1425NIK;0;0;0;0;0;0;0
CHAMBRE FROIDE;162010EE;FILT.KAFFEMASCHINE CUPCAKE FILGEBUR;0;0;0;0;0;0;0
CHAMBRE FROIDE;18711F;Robot premium 5200 XL MAGIMIX 18711F;0;0;0;0;0;0;0
CHAMBRE FROIDE;24-SCP090HWDV;Téléviseur LED SCHNEIDER 24-SCP090HWDV;0;0;0;0;0;0;0
CHAMBRE FROIDE;2582N;Aspirateur Crosswave sans fil BISSELL 2582N;0;0;0;0;0;0;0
