_id,quantity,reference,denomination,warehouse,assignedTeam,__v
658306e589709ebecbd69333,1,12050000579,JAMO - C91BL,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69335,2,15030005822,Table de cuisson gaz AIRLUX AV635HBK,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69340,1,CDL110DFWH/C-EU,Piano de cuisson FALCON Classic  Deluxe 110 blanc chrome mixte CDL110DFWH/C-EU,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69342,76,CRED110NOIR,Crédence110cm noir  1100x670mm,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69344,10,CRED90NOIR,Crédence 90cm noir  900x670mm,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69346,1,FALHDC100BC,Hotte décorative murale Falcon CLASSIC 100cm avec barre (Couleur : Noir) FALHDC100BC,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69348,2,FALHDC110CY/C-EU,Hotte décorative murale Falcon CLASSIC 110cm avec barre (Couleur : Rouge airelle),657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6934c,11,EXT5ANSPIANO,Extension de garantie 5 ans piano de cuisson Gaz,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6934e,1,EQ10FF-5FINF-EXPO,Piano de cuisson Steel ENFASI ALL BLACK 100 cm  Noir EXPO  - 5 IND,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69350,112,FORF-INJECTEUR,Forfait modification injecteurs gaz butane / propane,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69358,4,EXTENSIONGARANTIE5ANS,Extension de garantie 3 ANS supplémentaires,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6935a,5,GLPN66820,Réfrigérateur 1 porte GRUNDIG GLPN66820,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6935f,1,GQ7SF-4SS OT,Piano de cuisson STEEL GENESI 70cm 2 fours Inox Laiton Combi-Steam EXPO G7SF,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69361,1,HOTTEDOLCEVITA150IVORYWHITE,Hotte décorative murale Lofra DOLCEVITA 150cm Ivoire Laiton,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69363,3,F1092DXDFBL/CM-EU,"Piano de cuisson FALCON PKR 110 Deluxe Noir Chrome, Grilles mattes mixte F1092DXDFBL/CM-EU",657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69365,4,HOTTEDOLCEVITA90NOIRMATC,Hotte décorative murale LOFRA DOLCEVITA 90 NOIR MAT Chrome HOTTEDOLCEVITA90NOIRMATC,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69367,1,KMK968000T,Four encastrable noir AEG  KMK968000T,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69369,1,KIT1TR41N,Crédence SMEG 110 noir Victoria KIT1TR41N,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6936e,2,KNT2FF18T,Réfrigérateur combiné encastrable ELECTROLUX KNT2FF18T,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69378,6,PLINTHELOFRADOLCEVITA120,Plinthe pour Lofra 120cm 21502533 - Hauteur : 135,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6937a,1,HOTPYR90INOX,Hotte décorative murale Stoves 90cm (Couleur : Inox),657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6937c,6,PLINTHELOFRADOLCEVITA150,Plinthe pour Lofra 150cm 21503558 - Hauteur : 135,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6937e,17,PLINTHELOFRADOLCEVITA90,Plinthe pour Lofra 90cm 21502190 - Hauteur : 135,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69380,10,HOTTEDOLCEVITA90NOIRMAT,Hotte décorative murale Lofra DOLCEVITA 90cm Noir mat Laiton,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69385,5,PRO46E,Cave à vin LE CHAI PRO46E,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69387,1,RMHDC110WC/-EU,Hotte décorative murale Falcon CLASSIC 110cm sans barre (Couleur : Blanc),657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69389,4,RNMG96MFT/CiB,Piano de cuisson LOFRA DOLCEVITA 90cm Noir Bronze  Mixte RNMG96MFT/Ci,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6938b,4,RNMG96MFT/CiC,Piano de cuisson LOFRA DOLCEVITA 90cm Noir Chrome Mixte RNMG96MFT/Ci,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6938d,7,TR4110BL1,Piano de cuisson SMEG TR4110BL1 Mixte 110cm Victoria (Couleur : Noir),657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd6938f,1,RNMG96MFT/5IB,Piano de cuisson LOFRA DOLCEVITA 90cm Noir Bronze Induction RNMG96MFT/5i,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69370,8,LEIHDC90BC/-EU,Hotte décorative Falcon CLASSIC 90cm sans barre (Couleur : Noir),657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69393,5,TR4110IBL2,Piano de cuisson SMEG Induction 110cm Victoria (Couleur : Noir) TR4110IBL2,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69395,1,UNBHDS90CR,Hotte décorative plate FALCON Creme UNBHDS90CR,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69397,3,21500202,Couvercle en verre trempé inox 80x50 cm Lofra,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e589709ebecbd69399,5,RNMD96MFTE/CIB,Piano de cuisson LOFRA DOLCE VITA 90cm Noir Bronze Mixte 2 fours RNMD96MFTE/CiB,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd6939d,1,21500871,Couvercle en verre trempé satin Lofra 90x60 cm,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd6939f,1,CR520,Plancha en fonte GLEM AIRLUX CR520,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693a3,1,HGN9G2I,Plaque de cuisson mixte Lofra Dione 90 cm HGN9G2I,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693a6,1,PG96WMFT/AEO,Piano de cuisson Lofra VENEZIA 90 cm mixte - 1 four (Couleur : Inox),657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693c4,11,SPLASHBACK90LOFRAINOX,Crédence Lofra DOLCEVITA 90cm Inox Laiton SPLASHBACK90LOFRAINOX,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693ce,1,150100EQ464,Réfrigérateur top DOMO DO981RTKR Vintage rouge,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693d2,1,150200EQ401,Réfrigérateur encastrable WHIRLPOOL ARG9070A+,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693d4,1,150300EQ471,Table de cuisson gaz HOTPOINT PCN752T/IX/HA,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693d6,1,3429.14,Couvercle Ø14 en verre pontet inox DE BUYER 3429.14,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693d8,1,3429.16,Couvercle Ø16 en verre pontet inox DE BUYER 3429.16,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693da,1,3429.18,Couvercle Ø18 en verre pontet inox DE BUYER 3429.18,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693dc,1,3429.20,Couvercle Ø20 en verre pontet inox DE BUYER 3429.20,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693de,1,3603.24,Sauteuse à queue Ø24CM Bombée alchimy  DE BUYER 3603.24,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693e0,2,3605.28,Faitout Ø28CM alchimy sans couvercle DE BUYER 3605.28,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693e2,5,3660.02,Anses amovibles en bois de hêtre DEBUYER LOQY,657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693e4,2,40509-310-0,Cocotte en fonte ronde 26cmØ STAUB (Couleur : Noir),657c7f787490392a73929577,657c7ba89460601333bb331a,0
658306e689709ebecbd693e6,2,40509-840-0,Cocotte en fonte ronde 26cmØ STAUB (Couleur : Cerise),657c7f787490392a73929577,657c7ba89460601333bb331a,0
